date,month,month_num,year,quarter,plan,price_per_user,new_customers,churned_customers,total_customers,churn_rate_pct,actual_revenue,budget_revenue,variance,variance_pct,marketing_spend,cac,ltv,ltv_cac_ratio,mrr,arr
2022-07-30,July,7,2022,Q3,Enterprise,1299,10,0,41,1.0,53259,7182.5,46076.5,641.5,2454.05,245.4,129900.0,529.34,53259,639108
2022-08-29,August,8,2022,Q3,Starter,49,98,50,574,8.0,28126,4480.0,23646.0,527.8,3651.95,37.26,612.5,16.44,28126,337512
2022-08-29,August,8,2022,Q3,Pro,149,46,11,312,5.0,46488,6720.0,39768.0,591.8,3301.8,71.78,2980.0,41.52,46488,557856
2022-08-29,August,8,2022,Q3,Business,499,14,3,133,3.0,66367,8400.0,57967.0,690.1,3102.4,221.6,16633.33,75.06,66367,796404
2022-08-29,August,8,2022,Q3,Enterprise,1299,0,0,41,1.0,53259,7280.0,45979.0,631.6,2586.91,2586.91,129900.0,50.21,53259,639108
2022-09-28,September,9,2022,Q3,Starter,49,82,52,604,8.0,29596,4540.0,25056.0,551.9,2158.47,26.32,612.5,23.27,29596,355152
2022-09-28,September,9,2022,Q3,Pro,149,50,15,347,5.0,51703,6810.0,44893.0,659.2,1946.63,38.93,2980.0,76.55,51703,620436
2022-09-28,September,9,2022,Q3,Business,499,26,3,156,3.0,77844,8512.5,69331.5,814.5,3097.37,119.13,16633.33,139.62,77844,934128
2022-09-28,September,9,2022,Q3,Enterprise,1299,0,0,41,1.0,53259,7377.5,45881.5,621.9,1882.1,1882.1,129900.0,69.02,53259,639108
2022-10-28,October,10,2022,Q4,Starter,49,96,53,647,8.0,31703,4600.0,27103.0,589.2,2825.88,29.44,612.5,20.81,31703,380436
2022-10-28,October,10,2022,Q4,Pro,149,41,13,375,5.0,55875,6900.0,48975.0,709.8,2310.39,56.35,2980.0,52.88,55875,670500
2022-10-28,October,10,2022,Q4,Business,499,29,5,180,3.0,89820,8625.0,81195.0,941.4,3579.16,123.42,16633.33,134.77,89820,1077840
2022-10-28,October,10,2022,Q4,Enterprise,1299,7,0,48,1.0,62352,7475.0,54877.0,734.1,1644.81,234.97,129900.0,552.84,62352,748224
2022-11-27,November,11,2022,Q4,Starter,49,106,43,710,8.0,34790,4660.0,30130.0,646.6,2714.98,25.61,612.5,23.92,34790,417480
2022-11-27,November,11,2022,Q4,Pro,149,40,15,400,5.0,59600,6990.0,52610.0,752.6,3401.51,85.04,2980.0,35.04,59600,715200
2022-11-27,November,11,2022,Q4,Business,499,18,5,193,3.0,96307,8737.5,87569.5,1002.2,2874.51,159.69,16633.33,104.16,96307,1155684
2022-11-27,November,11,2022,Q4,Enterprise,1299,3,0,51,1.0,66249,7572.5,58676.5,774.9,3681.08,1227.03,129900.0,105.87,66249,794988
2022-12-27,December,12,2022,Q4,Starter,49,96,57,749,8.0,36701,4720.0,31981.0,677.6,3324.83,34.63,612.5,17.69,36701,440412
2022-12-27,December,12,2022,Q4,Pro,149,51,17,434,5.0,64666,7080.0,57586.0,813.4,2279.29,44.69,2980.0,66.68,64666,775992
2022-12-27,December,12,2022,Q4,Business,499,25,5,213,3.0,106287,8850.0,97437.0,1101.0,2793.94,111.76,16633.33,148.83,106287,1275444
2022-12-27,December,12,2022,Q4,Enterprise,1299,5,0,56,1.0,72744,7670.0,65074.0,848.4,2061.74,412.35,129900.0,315.02,72744,872928
2023-01-26,January,1,2023,Q1,Starter,49,97,53,793,8.0,38857,4780.0,34077.0,712.9,2050.54,21.14,612.5,28.97,38857,466284
2023-01-26,January,1,2023,Q1,Pro,149,56,17,473,5.0,70477,7170.0,63307.0,882.9,3077.76,54.96,2980.0,54.22,70477,845724
2023-01-26,January,1,2023,Q1,Business,499,20,7,226,3.0,112774,8962.5,103811.5,1158.3,1677.14,83.86,16633.33,198.35,112774,1353288
2023-01-26,January,1,2023,Q1,Enterprise,1299,17,0,73,1.0,94827,7767.5,87059.5,1120.8,3172.44,186.61,129900.0,696.1,94827,1137924
2023-02-25,February,2,2023,Q1,Starter,49,102,74,821,8.0,40229,4840.0,35389.0,731.2,2927.61,28.7,612.5,21.34,40229,482748
2023-02-25,February,2,2023,Q1,Pro,149,53,23,503,5.0,74947,7260.0,67687.0,932.3,3461.55,65.31,2980.0,45.63,74947,899364
2023-02-25,February,2,2023,Q1,Business,499,20,5,241,3.0,120259,9075.0,111184.0,1225.2,2577.63,128.88,16633.33,129.06,120259,1443108
2023-02-25,February,2,2023,Q1,Enterprise,1299,3,0,76,1.0,98724,7865.0,90859.0,1155.2,2667.56,889.19,129900.0,146.09,98724,1184688
2023-03-27,March,3,2023,Q1,Starter,49,103,78,846,8.0,41454,4900.0,36554.0,746.0,1746.04,16.95,612.5,36.14,41454,497448
2023-03-27,March,3,2023,Q1,Pro,149,44,24,523,5.0,77927,7350.0,70577.0,960.2,2348.26,53.37,2980.0,55.84,77927,935124
2023-03-27,March,3,2023,Q1,Business,499,21,6,256,3.0,127744,9187.5,118556.5,1290.4,2621.53,124.83,16633.33,133.25,127744,1532928
2023-03-27,March,3,2023,Q1,Enterprise,1299,3,0,79,1.0,102621,7962.5,94658.5,1188.8,2196.36,732.12,129900.0,177.43,102621,1231452
2023-04-26,April,4,2023,Q2,Starter,49,105,66,885,8.0,43365,4960.0,38405.0,774.3,3653.37,34.79,612.5,17.61,43365,520380
2023-04-26,April,4,2023,Q2,Pro,149,64,26,561,5.0,83589,7440.0,76149.0,1023.5,1626.47,25.41,2980.0,117.28,83589,1003068
2023-04-26,April,4,2023,Q2,Business,499,29,9,276,3.0,137724,9300.0,128424.0,1380.9,3815.92,131.58,16633.33,126.41,137724,1652688
2023-04-26,April,4,2023,Q2,Enterprise,1299,6,0,85,1.0,110415,8060.0,102355.0,1269.9,1915.78,319.3,129900.0,406.83,110415,1324980
2023-05-26,May,5,2023,Q2,Starter,49,103,67,921,8.0,45129,5020.0,40109.0,799.0,1646.59,15.99,612.5,38.31,45129,541548
2023-05-26,May,5,2023,Q2,Pro,149,53,26,588,5.0,87612,7530.0,80082.0,1063.5,3963.27,74.78,2980.0,39.85,87612,1051344
2023-05-26,May,5,2023,Q2,Business,499,19,8,287,3.0,143213,9412.5,133800.5,1421.5,2557.52,134.61,16633.33,123.57,143213,1718556
2023-05-26,May,5,2023,Q2,Enterprise,1299,15,1,99,1.0,128601,8157.5,120443.5,1476.5,3988.56,265.9,129900.0,488.53,128601,1543212
2023-06-25,June,6,2023,Q2,Starter,49,101,63,959,8.0,46991,5080.0,41911.0,825.0,2241.77,22.2,612.5,27.59,46991,563892
2023-06-25,June,6,2023,Q2,Pro,149,51,34,605,5.0,90145,7620.0,82525.0,1083.0,2947.95,57.8,2980.0,51.56,90145,1081740
2023-06-25,June,6,2023,Q2,Business,499,12,7,292,3.0,145708,9525.0,136183.0,1429.7,2960.44,246.7,16633.33,67.42,145708,1748496
2023-06-25,June,6,2023,Q2,Enterprise,1299,4,0,103,1.0,133797,8255.0,125542.0,1520.8,3631.8,907.95,129900.0,143.07,133797,1605564
2023-07-25,July,7,2023,Q3,Starter,49,117,63,1013,8.0,49637,5140.0,44497.0,865.7,1964.56,16.79,612.5,36.48,49637,595644
2023-07-25,July,7,2023,Q3,Pro,149,65,31,639,5.0,95211,7710.0,87501.0,1134.9,3188.03,49.05,2980.0,60.75,95211,1142532
2023-07-25,July,7,2023,Q3,Business,499,20,10,302,3.0,150698,9637.5,141060.5,1463.7,2115.54,105.78,16633.33,157.24,150698,1808376
2023-07-25,July,7,2023,Q3,Enterprise,1299,9,1,111,1.0,144189,8352.5,135836.5,1626.3,3048.45,338.72,129900.0,383.5,144189,1730268
2023-08-24,August,8,2023,Q3,Starter,49,106,81,1038,8.0,50862,5200.0,45662.0,878.1,3836.77,36.2,612.5,16.92,50862,610344
2023-08-24,August,8,2023,Q3,Pro,149,59,28,670,5.0,99830,7800.0,92030.0,1179.9,3290.48,55.77,2980.0,53.43,99830,1197960
2023-08-24,August,8,2023,Q3,Business,499,21,9,314,3.0,156686,9750.0,146936.0,1507.0,2249.99,107.14,16633.33,155.25,156686,1880232
2023-08-24,August,8,2023,Q3,Enterprise,1299,12,1,122,1.0,158478,8450.0,150028.0,1775.5,3379.66,281.64,129900.0,461.23,158478,1901736
2023-09-23,September,9,2023,Q3,Starter,49,118,99,1057,8.0,51793,5260.0,46533.0,884.7,3990.24,33.82,612.5,18.11,51793,621516
2023-09-23,September,9,2023,Q3,Pro,149,59,27,702,5.0,104598,7890.0,96708.0,1225.7,2032.89,34.46,2980.0,86.48,104598,1255176
2023-09-23,September,9,2023,Q3,Business,499,20,10,324,3.0,161676,9862.5,151813.5,1539.3,3698.18,184.91,16633.33,89.95,161676,1940112
2023-09-23,September,9,2023,Q3,Enterprise,1299,18,1,139,1.0,180561,8547.5,172013.5,2012.4,1894.37,105.24,129900.0,1234.32,180561,2166732
2023-10-23,October,10,2023,Q4,Starter,49,119,88,1088,8.0,53312,5320.0,47992.0,902.1,3968.08,33.35,612.5,18.37,53312,639744
2023-10-23,October,10,2023,Q4,Pro,149,50,37,715,5.0,106535,7980.0,98555.0,1235.0,1519.56,30.39,2980.0,98.06,106535,1278420
2023-10-23,October,10,2023,Q4,Business,499,23,10,337,3.0,168163,9975.0,158188.0,1585.8,3847.33,167.28,16633.33,99.43,168163,2017956
2023-10-23,October,10,2023,Q4,Enterprise,1299,3,1,141,1.0,183159,8645.0,174514.0,2018.7,1788.57,596.19,129900.0,217.88,183159,2197908
2023-11-22,November,11,2023,Q4,Starter,49,121,79,1130,8.0,55370,5380.0,49990.0,929.2,3012.07,24.89,612.5,24.61,55370,664440
2023-11-22,November,11,2023,Q4,Pro,149,62,38,739,5.0,110111,8070.0,102041.0,1264.4,2008.99,32.4,2980.0,91.98,110111,1321332
2023-11-22,November,11,2023,Q4,Business,499,19,10,346,3.0,172654,10087.5,162566.5,1611.6,3763.34,198.07,16633.33,83.98,172654,2071848
2023-11-22,November,11,2023,Q4,Enterprise,1299,4,1,144,1.0,187056,8742.5,178313.5,2039.6,1730.75,432.69,129900.0,300.21,187056,2244672
